Epoch 698, loss: 2.247
Epoch 699, loss: 2.944
Epoch 700, loss: 3.550
Epoch 701, loss: 3.154
Epoch 702, loss: 3.781
Epoch 703, loss: 3.689
Epoch 704, loss: 2.710
Epoch 705, loss: 3.075
Epoch 706, loss: 2.403
Epoch 707, loss: 2.855
Epoch 708, loss: 3.636
Epoch 709, loss: 4.151
Epoch 710, loss: 4.453
Epoch 711, loss: 5.114
Epoch 712, loss: 3.236
Epoch 713, loss: 2.867
Epoch 714, loss: 2.308
Epoch 715, loss: 2.401
Epoch 716, loss: 2.783
Epoch 717, loss: 2.973
Epoch 718, loss: 3.306
Epoch 719, loss: 2.675
Epoch 720, loss: 3.098
Epoch 721, loss: 3.071
Epoch 722, loss: 2.529
Epoch 723, loss: 2.953
Epoch 724, loss: 2.070
Epoch 725, loss: 2.036
Epoch 726, loss: 2.426
Epoch 727, loss: 3.421
Epoch 728, loss: 3.718
Epoch 729, loss: 2.735
Epoch 730, loss: 3.252
Epoch 731, loss: 3.185
Epoch 732, loss: 2.016
Epoch 733, loss: 2.064
Epoch 734, loss: 2.252
Epoch 735, loss: 2.718
Epoch 736, loss: 2.457
Epoch 737, loss: 2.369
Epoch 738, loss: 2.384
Epoch 739, loss: 2.084
Epoch 740, loss: 2.317
Epoch 741, loss: 2.771
Epoch 742, loss: 2.828
Epoch 743, loss: 2.473
Epoch 744, loss: 2.459
Epoch 745, loss: 3.479
Epoch 746, loss: 3.471
Epoch 747, loss: 2.966
Epoch 748, loss: 2.305
Epoch 749, loss: 2.206
Epoch 750, loss: 3.113
Epoch 751, loss: 4.352
Epoch 752, loss: 5.210
Epoch 753, loss: 2.436
Epoch 754, loss: 2.106
Epoch 755, loss: 2.365
Epoch 756, loss: 2.447
Epoch 757, loss: 2.536
Epoch 758, loss: 2.352
Epoch 759, loss: 2.829
Epoch 760, loss: 3.533
Epoch 761, loss: 2.153
Epoch 762, loss: 2.084
Epoch 763, loss: 2.154
Epoch 764, loss: 2.737
Epoch 765, loss: 3.146
Epoch 766, loss: 2.935
Epoch 767, loss: 2.895
Epoch 768, loss: 3.706
Epoch 769, loss: 3.333
Epoch 770, loss: 2.539
Epoch 771, loss: 2.414
Epoch 772, loss: 1.742
Epoch 773, loss: 2.119
Epoch 774, loss: 2.525
Epoch 775, loss: 2.401
Epoch 776, loss: 2.229
Epoch 777, loss: 2.345
Epoch 778, loss: 2.607
Epoch 779, loss: 2.777
Epoch 780, loss: 2.151
Epoch 781, loss: 2.913
Epoch 782, loss: 2.322
Epoch 783, loss: 3.693
Epoch 784, loss: 3.182
Epoch 785, loss: 1.982
Epoch 786, loss: 3.517
Epoch 787, loss: 1.919
Epoch 788, loss: 1.924
Epoch 789, loss: 1.759
Epoch 790, loss: 2.634
Epoch 791, loss: 2.987
Epoch 792, loss: 2.206
